method_id,display_label,method,variant,case_index,cells_per_side,cell_size,native_symmetric_hausdorff,geometric_curvature_mean_absolute_error,facet_gap,mixed_cells,reconstructed_cells,unsupported_cells,unresolved_cells
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),4,64,1.5625,0.004898715961160179,0.0012011849167948778,0.001843998085183167,124,123,0,1
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),0,128,0.78125,0.019572639464879336,0.0007518340888506832,0.0001902806241188601,258,255,0,3
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),1,128,0.78125,0.039277131001798596,0.0007603623131737208,0.00020128136067607292,252,247,0,5
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),2,128,0.78125,0.0006309270866808481,0.0007283410150113965,0.00023447024476138417,248,248,0,0
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),3,128,0.78125,0.0365869322025717,0.0008544635099182536,0.00025677785675223434,244,234,0,10
pcic_radius,PCIC (radius adjustment),PCIC,bare PCIC (radius adjustment),4,128,0.78125,0.025084091512482292,0.0007247830554298034,0.00022730634314124928,248,241,0,7
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),0,32,3.125,1.858114644459735,0.06619291844577815,0.0,64,64,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),1,32,3.125,1.722061657076816,0.041254362032559964,0.0,62,62,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),2,32,3.125,1.6330164309480684,0.023730909715249233,0.0,62,62,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),3,32,3.125,1.6176386105869789,0.031593626230887,0.0,60,60,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),4,32,3.125,1.8056006239238,0.049307001008064295,0.0,62,62,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),0,64,1.5625,0.8982253814577202,0.09102324571439273,0.0,128,128,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),1,64,1.5625,0.8732206540599472,0.045532353062791714,0.0,126,126,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),2,64,1.5625,0.98027663771392,0.11416681512487992,0.0,124,124,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),3,64,1.5625,0.8801591869744728,0.10658301444574199,0.0,122,122,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),4,64,1.5625,0.9009796532732733,0.1059441306121169,0.0,124,124,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),0,128,0.78125,0.45856759955137744,0.17927182124052574,0.0,258,258,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),1,128,0.78125,0.4743251589056627,0.20597232185725858,0.0,252,252,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),2,128,0.78125,0.4708648736275202,0.15136258988615167,0.0,248,248,0,0
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),3,128,0.78125,0.43155338536475135,0.0962325040274619,0.0,244,243,0,1
quasi,QUASI (frozen port),QUASI,QUASI (frozen Cartesian port),4,128,0.78125,0.4516544594895403,0.26733358168553367,0.0,248,248,0,0
