benchmark,case_index,cells_per_side,cell_a,cell_b,current_mismatch,admissible_root_count,dense_minimum_mismatch,dense_minimum_parameter
ellipses,3,64,"(33, 13)","(34, 13)",3.4588606068966284e-11,2,0.0,0.8295390690867543
ellipses,3,64,"(33, 51)","(34, 51)",1.738857693561459e-12,1,0.0,0.3460224237759576
ellipses,3,64,"(34, 13)","(34, 14)",5.771718278126778e-12,1,0.0,0.6449791968703493
ellipses,3,64,"(34, 14)","(35, 14)",2.0243581738543756e-11,1,0.0,0.35814896971907045
ellipses,3,64,"(34, 51)","(35, 51)",1.5736754111148966e-11,2,0.0,0.2434881082674383
ellipses,3,64,"(35, 14)","(35, 15)",1.3164214427162844e-09,1,0.0,0.05600912275934661
ellipses,3,64,"(35, 15)","(36, 15)",1.8478577890783973e-09,1,0.0,0.042782681378353116
ellipses,3,64,"(35, 50)","(36, 50)",1.490369045028844e-11,2,0.0,0.39752015236520494
ellipses,3,64,"(35, 50)","(35, 51)",9.855311802936924e-13,2,0.0,0.22452947011163815
ellipses,3,64,"(36, 15)","(37, 15)",2.4969230851834493e-10,1,0.0,0.8964988319984583
ellipses,3,64,"(36, 50)","(37, 50)",9.917783519559844e-14,1,0.0,0.6039257447069304
ellipses,3,64,"(37, 15)","(37, 16)",2.3526651968326775e-09,1,0.0,0.8917896865231478
ellipses,3,64,"(37, 16)","(38, 16)",4.530837124070764e-09,1,0.0,0.9396037644136004
ellipses,3,64,"(37, 49)","(38, 49)",2.771238902422027e-10,1,0.0,0.8880209086534433
ellipses,3,64,"(37, 49)","(37, 50)",1.2397039779097122e-10,1,0.0,0.17390546673107565
ellipses,3,64,"(38, 16)","(38, 17)",0.00019892561094443255,0,0.00019892561094443255,0.9476737084714295
ellipses,3,64,"(38, 17)","(38, 18)",6.499046155480327e-11,1,0.0,0.14811202727992168
ellipses,3,64,"(38, 18)","(39, 18)",9.272399006462817e-11,1,0.0,0.202751649559043
ellipses,3,64,"(38, 49)","(39, 49)",2.033270239191862e-09,1,0.0,0.032694599213464244
ellipses,3,64,"(39, 18)","(39, 19)",2.2114231578651278e-11,1,0.0,0.45506002269455165
ellipses,3,64,"(39, 19)","(40, 19)",3.7146015503961243e-10,1,0.0,0.7352157983854
ellipses,3,64,"(39, 47)","(40, 47)",7.107348920581378e-09,1,0.0,0.9115944935550305
ellipses,3,64,"(39, 47)","(39, 48)",5.5222512830067196e-09,1,0.0,0.06957803523860093
