method,variant,benchmark,case_index,cells_per_side,cell_size,geometry_file,metric_status,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples
PCIC,bare PCIC (center translation),zalesak,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case01.json,complete,1.7339547994689173,1.7339547994689173,0.9860035718204291,,,,,,0
PCIC,bare PCIC (center translation),zalesak,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case02.json,complete,1.9407444838701229,1.9407444838701229,0.9408120862353888,,,,,,0
PCIC,bare PCIC (center translation),zalesak,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case03.json,complete,1.155879727348868,1.155879727348868,0.9754662703713785,,,,,,0
PCIC,bare PCIC (center translation),zalesak,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N32_case04.json,complete,2.0685829224818204,2.0685829224818204,0.8815218111092257,,,,,,0
PCIC,bare PCIC (center translation),zalesak,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case00.json,complete,0.7820616713073025,0.48870624568482424,0.7820616713073025,,,,,,0
PCIC,bare PCIC (center translation),zalesak,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case01.json,complete,0.4526720077707304,0.368832345055451,0.4526720077707304,,,,,,0
PCIC,bare PCIC (center translation),zalesak,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case02.json,complete,0.9779165239182581,0.9779165239182581,0.4284122747932657,,,,,,0
PCIC,bare PCIC (center translation),zalesak,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case03.json,complete,0.7806683309545482,0.7806683309545482,0.4167530762245146,,,,,,0
PCIC,bare PCIC (center translation),zalesak,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N64_case04.json,complete,0.9310819940757261,0.9310819940757261,0.5295700019457973,,,,,,0
PCIC,bare PCIC (center translation),zalesak,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N128_case00.json,complete,0.3908183988993888,0.23960605088904346,0.3908183988993888,,,,,,0
PCIC,bare PCIC (center translation),zalesak,1,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N128_case01.json,complete,0.20967396824861836,0.1611348745765223,0.20967396824861836,,,,,,0
PCIC,bare PCIC (center translation),zalesak,2,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N128_case02.json,complete,0.28792720023534135,0.28792720023534135,0.2426928798187794,,,,,,0
PCIC,bare PCIC (center translation),zalesak,3,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N128_case03.json,complete,0.24207456429961988,0.23856995431481906,0.24207456429961988,,,,,,0
PCIC,bare PCIC (center translation),zalesak,4,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/translate_center_zalesak_N128_case04.json,complete,0.3121146445107267,0.3121146445107267,0.21095675946392223,,,,,,0
PCIC,bare PCIC (radius adjustment),circles,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N32_case00.json,complete,0.008107896631702357,0.008107896631702357,0.008076130350522242,0.0013869511147963373,0.002021407536853926,0.005130997806359103,0.01386951114796338,62.815936215085,384
PCIC,bare PCIC (radius adjustment),circles,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N32_case01.json,complete,0.009203618290675415,0.009203618290675415,0.009142115696898186,0.0013967520519641743,0.0018274058057375189,0.004176899772085255,0.013967520519641742,62.82533752951334,416
PCIC,bare PCIC (radius adjustment),circles,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N32_case02.json,complete,0.010454072751472752,0.010067131746874125,0.010454072751472752,0.0019318339105109889,0.0023376333125439343,0.004850357171566622,0.019318339105109907,62.79432874614056,400
PCIC,bare PCIC (radius adjustment),circles,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N32_case03.json,complete,0.03770735233206385,0.007399588346121792,0.03770735233206385,0.0019827978948758307,0.0027688767845673195,0.008473278840403373,0.019827978948758335,62.720161105008124,448
PCIC,bare PCIC (radius adjustment),circles,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N32_case04.json,complete,0.008897642878150765,0.008897642878150765,0.008869676844894583,0.0018280010586529654,0.002612348418960125,0.0127123038692748,0.01828001058652964,62.83184605914126,448
PCIC,bare PCIC (radius adjustment),circles,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N64_case00.json,complete,0.00985005097101682,0.00985005097101682,0.009685127812296215,0.0026423281042559595,0.003795835818768891,0.01142518158843217,0.02642328104255958,62.866670687941834,800
PCIC,bare PCIC (radius adjustment),circles,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N64_case01.json,complete,0.0018473514316052946,0.0014981396085849594,0.0018473514316052946,0.0010861771230936603,0.0015497352742546175,0.00403309736482578,0.010861771230936632,62.82899171727389,800
PCIC,bare PCIC (radius adjustment),circles,2,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N64_case02.json,complete,0.027342350683415922,0.002185894691902568,0.027342350683415922,0.0012392796865629925,0.00175227221840829,0.0063933810464273655,0.012392796865629975,62.77439657962706,784
PCIC,bare PCIC (radius adjustment),circles,3,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N64_case03.json,complete,0.004237271056096681,0.004237271056096681,0.0027951556964101996,0.0016957593401162978,0.002515102701582839,0.008615955570294029,0.01695759340116297,62.915264527875586,832
