benchmark,sweep,cases,max_update_displacement_median,max_update_displacement_q25,max_update_displacement_q75,max_net_endpoint_displacement_median,max_net_endpoint_displacement_q25,max_net_endpoint_displacement_q75,max_two_sweep_endpoint_displacement_median,max_two_sweep_endpoint_displacement_q25,max_two_sweep_endpoint_displacement_q75,max_c1_mismatch_after_median,max_c1_mismatch_after_q25,max_c1_mismatch_after_q75,max_area_residual_median,max_area_residual_q25,max_area_residual_q75,misses_median,misses_total,root_branch_switches_median,root_branch_switches_total,multiple_root_updates_median,multiple_root_updates_total
ellipses,26,5,1.8023960449142784e-08,7.50660297810235e-10,1.9098142694032316e-07,1.802396099037651e-08,7.506599786211154e-10,1.9098142800544338e-07,1.0927969640306401e-07,6.164313504086749e-10,1.0616032533050657e-06,0.0004018571251477652,0.00016239446188777266,0.8932353858592709,3.3176586478056436e-17,2.117582368135751e-21,5.551115123125783e-17,2.0,15,0.0,0,45.0,225
ellipses,27,5,4.128913300670278e-08,7.506648080912726e-10,7.990985935457662e-06,4.128913388967703e-08,7.506599786211154e-10,7.990985935180106e-06,2.322705618951204e-07,2.0050094917678507e-10,7.990985935180106e-06,9.248057938635735e-05,7.616803685949117e-05,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,12,0.0,0,45.0,225
ellipses,28,5,8.934072362118406e-09,7.50660297810235e-10,2.760634716777923e-06,8.934073036925838e-09,7.506599786211154e-10,2.760634718157462e-06,5.022320692660287e-08,8.970602038971265e-11,9.822261262115717e-06,2.1479365681118804e-05,1.7455122522223193e-05,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,0.0,12,0.0,0,45.0,225
ellipses,29,5,1.6563454600937444e-09,7.506648080912726e-10,1.655150055749656e-07,1.6563461713303695e-09,7.506599786211154e-10,1.655150043688991e-07,1.0590419208256208e-08,6.230038707144558e-11,2.967485613680765e-06,2.1576188605684962e-05,8.673754528877378e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,30,5,7.50660297810235e-10,4.028400443084612e-10,6.908152980862267e-08,7.506599786211154e-10,4.0283865132551e-10,6.908152982987303e-08,2.0591848226558795e-09,1.978150976356119e-11,2.3459653419877213e-07,2.1598469875541276e-05,6.019570150270407e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,15,0.0,0,45.0,225
ellipses,31,5,7.506648080912726e-10,6.479192182773374e-11,1.5859787983775464e-08,7.506599786211154e-10,6.479083936028474e-11,1.5859789925798395e-08,4.676294906857947e-10,3.1164404390437994e-11,8.494131975567143e-08,2.1603591138627072e-05,2.8504313695318253e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,15,0.0,0,45.0,225
ellipses,32,5,7.50660297810235e-10,3.1166779226876606e-11,3.77351846601523e-09,7.506599786211154e-10,3.1164404390437994e-11,3.77352193936531e-09,6.660272333647299e-11,4.18651779909851e-11,1.9633311865163705e-08,2.1604751839366648e-05,1.3401130528476293e-06,0.8932353858592709,1.1102230246251565e-16,2.117582368135751e-21,1.1102230246251565e-16,2.0,15,0.0,0,45.0,225
ellipses,33,5,7.506648080912726e-10,4.1870933803478394e-11,1.0626064264607216e-09,7.506599786211154e-10,4.18651779909851e-11,1.0626024504745146e-09,1.432454155292362e-11,1.0700773600547109e-11,4.548645904378645e-09,2.1605006949180012e-05,1.3395373095437022e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,15,0.0,0,45.0,225
ellipses,34,5,3.5828173110610817e-10,2.8436801524645006e-11,7.50660297810235e-10,3.582840690796729e-10,2.843592028511921e-11,7.506599786211154e-10,3.1164404390437994e-11,6.760814130757353e-12,1.1334080340930086e-09,2.1605133495969152e-05,1.3404832288702987e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,35,5,8.958910002743181e-11,3.1166779226876606e-11,7.506648080912726e-10,8.958522812463343e-11,3.1164404390437994e-11,7.506599786211154e-10,4.18651779909851e-11,1.099209612220875e-11,3.700648676385754e-10,2.1605134117644125e-05,1.339520437318427e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,36,5,4.1870933803478394e-11,2.8436801524645006e-11,5.54490307835831e-10,4.18651779909851e-11,2.843592028511921e-11,5.54493340132467e-10,1.0700773600547109e-11,6.760814130757353e-12,1.1471001926111057e-10,2.1605134117644125e-05,1.3391401322427382e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,37,5,2.8438189303425787e-11,2.063522963613451e-11,1.0580147868921586e-10,2.843592028511921e-11,2.063416104647331e-11,1.0579981335467892e-10,3.1164404390437994e-11,1.099209612220875e-11,3.299760464869905e-11,2.1605134117644125e-05,1.3390928450519413e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,38,5,3.1166779226876606e-11,2.8436801524645006e-11,5.402713866564657e-11,3.1164404390437994e-11,2.843592028511921e-11,5.402966962719802e-11,7.87281351222191e-12,6.760814130757353e-12,4.18651779909851e-11,2.1605134117644125e-05,1.3390298214806534e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,39,5,4.1870933803478394e-11,2.8438189303425787e-11,2.154340941751265e-10,4.18651779909851e-11,2.843592028511921e-11,2.1543300476878358e-10,1.0700773600547109e-11,6.316724920907291e-12,1.099209612220875e-11,2.1605134117644125e-05,1.3390200423854191e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,40,5,2.8436801524645006e-11,2.0629158103968592e-11,1.0615189283136317e-10,2.843592028511921e-11,2.063416104647331e-11,1.0615153200888017e-10,6.760814130757353e-12,0.0,3.1164404390437994e-11,2.1605134117644125e-05,1.3390896526968133e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,41,5,3.1166779226876606e-11,2.8438189303425787e-11,1.0185966653475376e-10,3.1164404390437994e-11,2.843592028511921e-11,1.0185985388488916e-10,1.099209612220875e-11,0.0,4.18651779909851e-11,2.1605134117644125e-05,1.3390525324050605e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
