benchmark,case_index,cells_per_side,sweep,updates,misses,multiple_root_updates,root_branch_switches,max_update_displacement,mean_update_displacement,max_net_endpoint_displacement,max_two_sweep_endpoint_displacement,mean_c1_mismatch_before,max_c1_mismatch_before,mean_c1_mismatch_after,max_c1_mismatch_after,max_area_residual
circles,1,64,11,50,0,19,0,0.01670375982380009,0.0008032135715731306,0.016703759823798237,0.37896745742308724,0.002429709787022038,0.04756244309773592,0.0005810002520462501,0.01654060442572478,0.0
circles,1,64,12,50,0,19,0,0.0032084055385036767,0.0001550894327073016,0.0032084055385013244,0.01612633698267274,0.0005810002520462501,0.01654060442572478,0.0001689429977020377,0.0032568885160960933,0.0
circles,1,64,13,50,0,19,0,0.0007062992740560284,4.179270320748716e-05,0.0007062992740571872,0.0037329682681530585,0.0001689429977020377,0.0032568885160960933,5.654222627099516e-05,0.0009776430070987036,0.0
circles,1,64,14,50,0,19,0,0.00024422427954626236,1.3149507680400817e-05,0.0002442242795481775,0.0008554773663149717,5.654222627099516e-05,0.0009776430070987036,1.776827727694581e-05,0.00035108661339185,0.0
circles,1,64,15,50,0,19,0,7.140636528752548e-05,4.226594860287734e-06,7.140636528646382e-05,0.0003156306448346413,1.776827727694581e-05,0.00035108661339185,5.469585731601172e-06,0.00010258306616133583,0.0
circles,1,64,16,50,0,19,0,1.8287842865408188e-05,1.340965682196599e-06,1.8287842863173864e-05,8.969420814963769e-05,5.469585731601172e-06,0.00010258306616133583,1.6937140724448797e-06,2.6267780904595427e-05,0.0
circles,1,64,17,50,0,19,0,4.643168175638701e-06,4.2626062597738226e-07,4.643168175277879e-06,2.2698439472890186e-05,1.6937140724448797e-06,2.6267780904595427e-05,5.322742095883278e-07,6.334889996518396e-06,0.0
circles,1,64,18,50,0,19,0,1.366170131189559e-06,1.3633538092873085e-07,1.3661701316891595e-06,6.009338306967038e-06,5.322742095883278e-07,6.334889996518396e-06,1.696250833312779e-07,1.6663490570997932e-06,0.0
circles,1,64,19,50,0,19,0,4.235135523528166e-07,4.4079294711464254e-08,4.235135548924518e-07,1.7501323981150563e-06,1.696250833312779e-07,1.6663490570997932e-06,5.4789614712459885e-08,5.320621297202248e-07,0.0
circles,1,64,20,50,0,19,0,1.3295474773217242e-07,1.4205140933106972e-08,1.3295474587948775e-07,5.444631057116567e-07,5.4789614712459885e-08,5.320621297202248e-07,1.8003250764342937e-08,1.6840052278950997e-07,0.0
circles,1,64,21,50,0,19,0,4.1812968365473324e-08,4.5172387100420736e-09,4.181296731076145e-08,1.7313396938334336e-07,1.8003250764342937e-08,1.6840052278950997e-07,6.1275458301206375e-09,5.0934581134051396e-08,0.0
circles,1,64,22,50,0,19,0,1.3231121580303817e-08,1.4478661557442568e-09,1.323112286399919e-08,5.504409017476064e-08,6.1275458301206375e-09,5.0934581134051396e-08,2.17229831041094e-09,1.9412680232589282e-08,0.0
circles,1,64,23,50,0,19,0,4.017709255565993e-09,4.705534297714392e-10,4.017707055936626e-09,1.70626961448761e-08,2.17229831041094e-09,1.9412680232589282e-08,8.483381062246696e-10,8.501836637529063e-09,0.0
circles,1,64,24,50,0,19,0,1.4457923573629738e-09,1.549363380648483e-10,1.445791042442579e-09,5.223313337410218e-09,8.483381062246696e-10,8.501836637529063e-09,4.193688301912376e-10,7.327084743448959e-09,0.0
circles,1,64,25,50,0,19,0,5.556783765764406e-10,5.0996894424351624e-11,5.556799465011864e-10,2.0014709889437654e-09,4.193688301912376e-10,7.327084743448959e-09,2.755954082843662e-10,7.323733053015115e-09,0.0
circles,1,64,26,50,0,19,0,1.8465268376843813e-10,1.616609992573237e-11,1.8465584616933484e-10,7.403357926705212e-10,2.755954082843662e-10,7.323733053015115e-09,2.3159228929906908e-10,7.317985542202556e-09,0.0
circles,1,64,27,50,0,19,0,4.827731096834764e-11,5.338963863024682e-12,4.8274273467541207e-11,2.3293011963687604e-10,2.3159228929906908e-10,7.317985542202556e-09,2.2101344114750193e-10,7.31749018510023e-09,0.0
circles,1,64,28,50,0,19,0,3.61259633319122e-11,3.1245702639820516e-12,3.6123992686043493e-11,8.244427363024442e-11,2.2101344114750193e-10,7.31749018510023e-09,2.1289667098374666e-10,7.31749018510023e-09,0.0
circles,1,64,29,50,0,19,0,3.612301430200304e-11,1.3436094684765587e-12,3.6123992686043493e-11,3.452527153058327e-11,2.1289667098374666e-10,7.31749018510023e-09,2.128228848220134e-10,7.31749018510023e-09,0.0
