method,variant,benchmark,case_index,random_seed,cells_per_side,cell_size,runtime_seconds,mixed_cells,reconstructed_cells,paper_fallback_cells,unsupported_cells,unresolved_cells,optimizer_failures,sampled_hausdorff,sampled_reconstruction_to_truth,shared_edge_gap_mean,shared_edge_gap_max,unmatched_crossings,conservation_mean_absolute_residual,conservation_max_absolute_residual,curvature_estimator_mean_absolute_error,curvature_estimator_median_absolute_error,curvature_estimator_max_absolute_error,curvature_estimator_samples,parameters_json,status_message
PLVIRA,PLVIRA,ellipses,4,42,128,0.78125,1.2906268329999975,248,248,0,0,0,0,0.0662274675365382,0.0662274675365382,0.0024266596847420906,0.08991281712820864,0,3.5058235546202416e-15,5.345723863570129e-14,0.024214926686354728,0.00013942055002862802,1.1159488905040835,248,"{""benchmark"": ""ellipses"", ""canonical_case_count"": 25, ""case_index"": 4, ""parameters"": {""aspect_ratio"": 1.75, ""center"": [50.64386512008066, 50.82276161327083], ""major_axis"": 30.0, ""minor_axis"": 17.142857142857142, ""theta"": 0.6965133947666736}, ""random_seed"": 42}",complete
PLVIRA,PLVIRA,zalesak,0,43,32,3.125,0.2742332079999983,54,54,0,0,0,0,2.452981099508148,2.452981099508148,0.1873716618822388,1.8976818015336008,5,1.7303198483085312e-11,9.319442995092686e-10,0.06816014747856007,0.0017862690183303581,0.5813594337979111,54,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.65229926270091, 50.043775323639], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[48.62539471145046, 34.97255480438041], [53.62292020881417, 35.12984085970514], [52.8364899007333, 60.117469346028784], [47.83896440336959, 59.96018329070405]], ""slot_width"": 5.0, ""theta"": 0.03146240148923911}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,0,43,64,1.5625,0.6114016249999992,112,112,0,0,0,0,0.6394342877598324,0.6394342877598324,0.0388548526149422,0.9552271802890502,5,6.155555898211144e-15,1.8096635301390052e-13,0.028705678469002033,0.00031757605905990277,0.9645523260953202,112,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.65229926270091, 50.043775323639], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[48.62539471145046, 34.97255480438041], [53.62292020881417, 35.12984085970514], [52.8364899007333, 60.117469346028784], [47.83896440336959, 59.96018329070405]], ""slot_width"": 5.0, ""theta"": 0.03146240148923911}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,0,43,128,0.78125,1.1711251669999996,218,218,0,0,0,0,0.3035573994704553,0.3035573994704553,0.005770128526443937,0.3069041902255165,4,1.0884842799431317e-14,8.391204397995011e-13,0.015070461094887418,7.635722751099527e-05,1.8319015567287444,218,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 0, ""parameters"": {""center"": [50.65229926270091, 50.043775323639], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[48.62539471145046, 34.97255480438041], [53.62292020881417, 35.12984085970514], [52.8364899007333, 60.117469346028784], [47.83896440336959, 59.96018329070405]], ""slot_width"": 5.0, ""theta"": 0.03146240148923911}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,1,43,32,3.125,0.29211775000000273,57,57,0,0,0,0,1.387775877086495,1.387775877086495,0.13320797089505257,0.9423471328152431,8,2.0054498997118823e-14,2.473576898864849e-13,0.07213314351154893,0.03489209670328187,0.4709605890287542,57,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.83921258251103, 50.58714304758806], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[53.67857342210856, 35.64766313620691], [58.37033090017683, 37.37607621385659], [49.7282651662458, 60.83486454254944], [45.03650768817753, 59.106451464899756]], ""slot_width"": 5.0, ""theta"": 0.3529661502154549}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,1,43,64,1.5625,0.5729021249999988,117,117,0,0,0,0,0.6069364390125681,0.6069364390125681,0.03234268992718226,0.5081097285060494,6,2.701483386469044e-14,2.6125768215479184e-12,0.035772445369957155,0.0003054188411455161,1.1323457563305408,117,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.83921258251103, 50.58714304758806], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[53.67857342210856, 35.64766313620691], [58.37033090017683, 37.37607621385659], [49.7282651662458, 60.83486454254944], [45.03650768817753, 59.106451464899756]], ""slot_width"": 5.0, ""theta"": 0.3529661502154549}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,1,43,128,0.78125,1.1635871250000065,234,234,0,0,0,0,0.24964447200914422,0.22404071025075345,0.009276599220204936,0.3404243721381164,2,6.4766960852717835e-15,4.410916076835747e-13,0.03571021442236347,7.243676360986495e-05,1.1206010588074566,234,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 1, ""parameters"": {""center"": [50.83921258251103, 50.58714304758806], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[53.67857342210856, 35.64766313620691], [58.37033090017683, 37.37607621385659], [49.7282651662458, 60.83486454254944], [45.03650768817753, 59.106451464899756]], ""slot_width"": 5.0, ""theta"": 0.3529661502154549}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,2,43,32,3.125,0.31482408300000486,60,60,0,0,0,0,1.8280059810822784,1.8280059810822784,0.20053206347796432,1.5304673302751155,17,1.9161986812103275e-14,2.504663143554353e-13,0.1091678402832566,0.06666666666666667,0.9022682577131784,60,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.751792271818616, 50.26369219747838], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[57.96954671771748, 36.87884812820704], [61.92042811455808, 39.94324630535355], [46.5984366159459, 59.697654079732835], [42.64755521910529, 56.63325590258633]], ""slot_width"": 5.0, ""theta"": 0.6596997579173125}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,2,43,64,1.5625,0.5806120000000021,121,121,0,0,0,0,0.9718520761395328,0.9718520761395328,0.03514292664961177,0.5457925412079447,1,1.4088850161560092e-14,7.651379529960423e-13,0.05549702936822329,0.00029753370048854477,1.2605072006162976,121,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.751792271818616, 50.26369219747838], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[57.96954671771748, 36.87884812820704], [61.92042811455808, 39.94324630535355], [46.5984366159459, 59.697654079732835], [42.64755521910529, 56.63325590258633]], ""slot_width"": 5.0, ""theta"": 0.6596997579173125}, ""random_seed"": 43}",complete
PLVIRA,PLVIRA,zalesak,2,43,128,0.78125,1.208044000000001,242,242,0,0,0,0,0.3508311062050326,0.3508311062050326,0.00788951702109666,0.38018830374907964,8,1.2924398435587455e-14,2.3473445409649685e-12,0.06851838337748467,7.188384227524436e-05,1.8939072503332035,242,"{""benchmark"": ""zalesak"", ""canonical_case_count"": 25, ""case_index"": 2, ""parameters"": {""center"": [50.751792271818616, 50.26369219747838], ""radius"": 15.0, ""slot_top_rel"": 10.0, ""slot_vertices"": [[57.96954671771748, 36.87884812820704], [61.92042811455808, 39.94324630535355], [46.5984366159459, 59.697654079732835], [42.64755521910529, 56.63325590258633]], ""slot_width"": 5.0, ""theta"": 0.6596997579173125}, ""random_seed"": 43}",complete
